year,month,day,mean_wind_speed,rainfall,solar_radiation,evaporation,
2005,8,12,2.8,0.0,17.45,3.4,
2005,8,13,3.1,0.0,17.98,3.2,
2005,8,14,2.7,0.4,14.77,2.5,
2005,8,15,2.8,0.0,22.39,3.0,
2005,8,16,2.8,0.0,23.26,3.3,
2005,8,17,2.6,0.6,21.20,4.0,
2005,8,18,2.2,14.0,4.15,0.7,
2005,8,19,2.8,0.0,20.57,4.1,
2005,8,20,2.3,1.0,19.55,3.3,
2005,8,21,2.3,0.0,11.57,1.7,
2005,8,22,2.2,-33.3,17.60,3.4,
2005,8,23,2.1,14.0,12.38,1.6,
2005,8,24,2.1,0.4,19.63,3.8,
2005,8,25,2.5,0.0,24.61,3.2,
2005,8,26,2.2,5.2,18.95,3.6,
2005,8,27,3.0,0.0,21.37,3.1,
2005,8,28,2.4,-33.3,15.53,2.1,
2005,8,29,2.5,5.0,9.41,1.4,
2005,8,30,3.1,0.4,18.90,2.1,
2005,8,31,2.7,1.2,17.49,2.0,
2005,9,1,3.2,0.0,19.01,2.7,
2005,9,2,2.4,-33.3,13.41,1.4,
2005,9,3,2.0,27.2,9.05,2.5,
2005,9,4,2.8,1.4,10.18,2.2,
2005,9,5,3.1,1.0,18.71,1.7,
2005,9,6,3.4,-33.3,17.60,3.1,
2005,9,7,2.9,21.4,9.15,5.1,
2005,9,8,2.4,0.2,11.16,1.1,
2005,9,9,2.5,-33.3,15.14,1.9,
2005,9,10,2.3,7.8,14.59,3.0,
2005,9,11,2.5,21.4,20.66,5.3,
2005,9,12,2.0,2.0,18.82,2.1,
2005,9,13,2.5,64.4,13.81,-1.1,
2005,9,14,2.6,9.6,21.87,3.7,
2005,9,15,2.2,3.8,20.11,4.0,
2005,9,16,1.9,14.2,17.62,3.1,
2005,9,17,2.6,1.0,22.31,4.1,
2005,9,18,2.0,0.2,7.42,0.8,
2005,9,19,2.2,0.0,12.07,0.9,
2005,9,20,2.3,0.6,19.16,3.3,
2005,9,21,2.4,0.0,20.45,3.0,
2005,9,22,2.0,-33.3,11.62,2.7,
2005,9,23,2.6,2.2,19.58,3.0,
2005,9,24,1.8,0.0,18.97,3.4,
2005,9,25,3.0,0.0,23.01,3.7,
2005,9,26,2.4,0.0,21.49,4.0,
2005,9,27,2.8,18.0,16.91,5.1,
2005,9,28,2.4,0.0,20.72,4.0,
2005,9,29,2.4,0.0,24.27,3.2,
2005,9,30,2.5,0.0,24.75,3.4,
2005,10,1,2.6,0.0,15.87,2.6,
2005,10,2,2.0,29.0,17.15,2.2,
2005,10,3,2.1,27.8,17.04,2.0,
2005,10,4,2.3,0.2,15.93,3.7,
2005,10,5,2.2,0.0,12.27,2.9,
2005,10,6,2.2,0.0,22.70,3.7,
2005,10,7,2.8,4.2,14.67,2.2,
2005,10,8,2.0,0.0,11.37,1.4,
2005,10,9,2.7,8.4,16.80,2.3,
2005,10,10,2.9,-33.3,19.76,3.3,
2005,10,11,2.9,0.0,19.50,3.4,
2005,10,12,2.4,-33.3,20.42,3.3,
2005,10,13,2.4,-33.3,13.27,3.7,
2005,10,14,2.2,22.8,16.54,2.9,
2005,10,15,2.2,-33.3,18.76,2.7,
2005,10,16,2.2,2.8,9.58,0.8,
2005,10,17,1.8,0.0,11.16,3.5,
2005,10,18,2.2,2.2,23.11,3.6,
2005,10,19,1.8,-33.3,10.97,1.5,
2005,10,20,2.1,7.2,8.88,0.7,
2005,10,21,2.3,8.2,19.29,2.3,
2005,10,22,2.0,1.0,10.11,0.3,
2005,10,23,2.5,0.0,21.12,2.4,
2005,10,24,2.3,0.0,21.85,4.4,
2005,10,25,3.2,33.2,20.36,2.8,
2005,10,26,2.1,12.4,3.16,0.2,
2005,10,27,2.0,0.2,10.18,0.9,
2005,10,28,2.5,5.0,17.80,1.7,
2005,10,29,2.6,0.0,20.23,2.2,
2005,10,30,2.3,4.8,15.56,2.4,
2005,10,31,2.3,1.2,15.98,1.8,
2005,11,1,1.7,1.2,18.29,2.9,
2005,11,2,2.0,0.2,15.41,2.5,
2005,11,3,1.9,0.0,12.33,2.7,
2005,11,4,1.3,0.4,5.08,2.1,
2005,11,5,2.0,20.8,17.18,2.1,
2005,11,6,2.5,2.0,16.85,2.7,
2005,11,7,2.1,0.4,14.56,3.1,
2005,11,8,2.0,0.0,16.02,1.5,
2005,11,9,2.4,0.0,21.52,2.8,
2005,11,10,1.8,1.4,13.17,3.9,
2005,11,11,2.0,-33.3,16.38,3.5,
2005,11,12,2.0,34.0,17.23,5.1,
2005,11,13,1.9,17.2,19.45,2.2,
2005,11,14,2.2,13.0,16.30,4.9,
2005,11,15,2.1,36.2,16.66,4.7,
2005,11,16,2.3,6.0,16.28,3.1,
2005,11,17,2.2,1.8,14.88,2.3,
2005,11,18,2.4,0.6,18.56,1.7,
2005,11,19,2.0,7.8,20.07,5.0,
2005,11,20,2.4,51.0,4.41,-1.1,
2005,11,21,3.2,115.8,1.26,-1.1,
2005,11,22,3.3,64.8,2.29,1.1,
2005,11,23,2.2,22.4,8.41,0.5,
2005,11,24,1.8,51.0,16.32,0.9,
2005,11,25,1.6,1.6,15.68,3.1,
2005,11,26,1.9,5.0,17.17,2.4,
2005,11,27,2.2,10.0,15.72,2.3,
2005,11,28,1.6,-33.3,13.87,1.7,
2005,11,29,2.2,22.0,18.36,0.7,
2005,11,30,1.9,-33.3,10.63,1.1,
2005,12,1,2.0,0.0,10.78,1.9,
2005,12,2,2.0,5.0,15.99,2.3,
2005,12,3,1.5,0.0,15.26,1.6,
2005,12,4,2.1,20.4,17.37,2.1,
2005,12,5,2.0,0.4,13.67,2.1,
2005,12,6,2.3,2.0,17.96,2.6,
2005,12,7,2.6,9.6,16.93,2.4,
2005,12,8,2.0,0.0,19.70,3.5,
2005,12,9,2.3,0.0,15.57,3.1,
2005,12,10,2.9,2.6,16.72,3.4,
2005,12,11,1.8,0.0,9.14,1.9,
2005,12,12,2.5,13.0,15.22,2.6,
2005,12,13,2.5,-33.3,14.81,3.0,
2005,12,14,2.5,8.2,15.76,2.9,
2005,12,15,1.7,0.4,16.86,2.5,
2005,12,16,2.7,1.6,18.96,2.7,
2005,12,17,2.2,4.2,7.99,1.5,
2005,12,18,2.6,5.8,7.80,1.3,
2005,12,19,3.6,0.0,13.73,2.1,
2005,12,20,2.5,0.0,11.80,1.1,
2005,12,21,2.5,10.2,16.08,1.8,
2005,12,22,1.4,42.4,9.85,0.5,
2005,12,23,3.1,29.6,8.24,2.3,
2005,12,24,2.2,48.0,10.66,2.7,
2005,12,25,2.4,4.2,15.36,1.1,
2005,12,26,2.5,5.8,9.67,2.5,
2005,12,27,3.9,7.4,10.84,3.5,
2005,12,28,3.6,0.0,15.01,3.8,
2005,12,29,3.4,0.0,15.89,3.7,
2005,12,30,3.1,0.0,20.40,3.9,
2005,12,31,2.8,6.2,19.34,3.8,
2006,1,1,2.3,32.2,9.80,6.7,
2006,1,2,2.2,50.2,4.24,0.5,
2006,1,3,2.7,4.2,19.93,2.9,
2006,1,4,2.0,9.8,7.29,1.1,
2006,1,5,2.8,0.0,14.58,2.8,
2006,1,6,3.7,18.6,9.74,1.5,
2006,1,7,5.4,21.2,9.97,1.5,
2006,1,8,7.5,20.0,2.04,1.4,
2006,1,9,5.0,12.0,7.42,2.2,
2006,1,10,6.7,16.2,2.93,1.6,
2006,1,11,5.4,-33.3,9.67,1.7,
2006,1,12,4.5,0.0,12.21,3.1,
2006,1,13,3.5,0.0,21.18,3.8,
2006,1,14,3.9,0.0,20.60,4.0,
2006,1,15,4.1,-33.3,20.90,3.8,
2006,1,16,3.6,0.0,23.69,3.5,
2006,1,17,2.3,1.4,12.16,2.5,
2006,1,18,2.9,0.0,14.64,2.7,
2006,1,19,2.6,0.0,21.71,3.5,
2006,1,20,2.4,0.0,17.42,3.3,
2006,1,21,2.5,0.0,15.24,2.6,
2006,1,22,2.9,0.0,20.75,4.1,
2006,1,23,4.8,0.0,21.85,5.1,
2006,1,24,5.1,1.8,11.69,2.4,
2006,1,25,4.3,0.0,19.37,4.8,
2006,1,26,4.8,0.0,15.96,4.3,
2006,1,27,4.0,0.0,19.29,5.1,
2006,1,28,3.5,0.0,23.02,4.5,
2006,1,29,3.7,0.0,21.42,5.5,
2006,1,30,3.9,0.0,19.92,4.3,
2006,1,31,4.2,29.8,24.35,6.1,
2006,2,1,2.9,39.0,9.48,6.9,
2006,2,2,5.3,-33.3,19.54,3.8,
2006,2,3,5.6,0.0,22.89,5.1,
2006,2,4,6.5,-33.3,14.23,3.8,
2006,2,5,6.2,43.4,20.05,4.5,
2006,2,6,4.2,2.0,19.93,4.1,
2006,2,7,5.1,-33.3,22.50,4.5,
2006,2,8,5.7,1.8,20.16,4.4,
2006,2,9,5.7,10.2,9.71,1.5,
2006,2,10,3.5,36.4,5.78,1.1,
2006,2,11,2.7,2.4,7.66,1.4,
2006,2,12,2.0,-33.3,20.76,2.0,
2006,2,13,3.5,0.0,23.86,4.7,
2006,2,14,3.5,0.0,22.38,4.3,
2006,2,15,2.8,0.0,23.25,4.4,
2006,2,16,2.5,0.0,23.48,4.1,
2006,2,17,3.2,2.2,22.65,4.9,
2006,2,18,4.1,0.0,25.07,5.7,
2006,2,19,3.9,-33.3,18.80,4.0,
2006,2,20,4.8,-33.3,15.69,3.4,
2006,2,21,5.7,0.0,21.97,5.5,
2006,2,22,4.8,-33.3,22.07,4.3,
2006,2,23,6.0,25.8,19.62,5.4,
2006,2,24,6.0,-33.3,17.38,3.7,
2006,2,25,5.2,0.0,20.73,5.1,
2006,2,26,2.7,-33.3,12.87,2.4,
2006,2,27,3.0,0.0,22.93,4.9,
2006,2,28,3.1,0.0,24.97,4.9,
2006,3,1,3.8,0.0,25.26,5.5,
2006,3,2,3.6,0.0,24.30,5.2,
2006,3,3,4.0,0.0,25.66,5.7,
2006,3,4,4.4,0.0,22.01,4.5,
2006,3,5,3.1,0.0,25.52,5.3,
2006,3,6,2.8,0.0,22.16,4.6,
2006,3,7,3.1,0.0,23.56,5.8,
2006,3,8,3.0,0.0,24.94,5.9,
2006,3,9,2.7,0.0,20.93,4.6,
2006,3,10,3.0,0.0,25.71,5.8,
2006,3,11,3.0,0.0,25.68,5.8,
2006,3,12,2.7,0.0,26.56,5.3,
2006,3,13,2.5,0.0,23.51,3.8,
2006,3,14,2.6,0.0,25.33,5.2,
2006,3,15,3.0,0.0,24.75,5.7,
2006,3,16,3.4,0.0,25.84,5.6,
2006,3,17,3.0,0.0,25.11,5.3,
2006,3,18,2.9,0.0,24.13,5.4,
2006,3,19,1.7,0.0,20.96,4.0,
2006,3,20,2.5,0.0,24.16,4.6,
2006,3,21,2.5,-33.3,15.06,3.9,
2006,3,22,2.1,13.2,19.73,2.4,
2006,3,23,2.1,1.2,23.04,4.0,
2006,3,24,2.0,7.2,14.52,2.2,
2006,3,25,2.4,0.0,17.03,4.7,
2006,3,26,1.7,0.2,14.13,2.2,
2006,3,27,0.5,9.4,6.79,0.4,
2006,3,28,1.2,-33.3,15.18,1.8,
2006,3,29,1.6,0.0,22.43,3.5,
2006,3,30,2.7,0.0,16.80,3.3,
2006,3,31,2.6,0.0,14.26,2.6,
2006,4,1,2.0,13.6,20.32,5.1,
2006,4,2,1.7,0.0,19.79,3.3,
2006,4,3,2.1,0.0,20.83,3.9,
2006,4,4,2.3,0.0,22.89,4.5,
2006,4,5,2.3,0.0,15.76,2.7,
2006,4,6,2.3,0.0,25.47,5.2,
